,发帖日期,帖子总数量,积极帖子数量,中立帖子数量,消极帖子数量,帖子平均阅读量,帖子平均评论量,帖子平均点赞量,积极帖子平均阅读量,积极帖子平均评论量,积极帖子平均点赞量,中立帖子平均阅读量,中立帖子平均评论量,中立帖子平均点赞量,消极帖子平均阅读量,消极帖子平均评论量,消极帖子平均点赞量
198,2021-5-19,182,69,19,94,1066.06,4.41,4.74,556.07,2.64,4.87,1369.03,6.76,5.94,999.58,4.54,4.41
199,2021-5-20,211,54,15,142,949.11,3.18,4.4,388.91,2.5,4.17,609.07,3.67,3.4,964.23,3.41,4.61
200,2021-5-21,214,78,23,113,524.57,4.36,4.21,585.12,5.42,4.51,494.43,2.87,4.17,488.9,3.94,4.01
201,2021-5-22,79,25,9,45,758.75,4.94,8.16,800.12,5.16,8.72,901.56,5.0,10.89,707.2,4.8,7.31
202,2021-5-23,104,34,6,64,705.65,4.01,7.88,696.12,2.88,8.56,237.0,1.33,4.83,754.66,4.86,7.81
203,2021-5-24,207,83,22,102,573.9,3.98,4.46,607.67,4.41,4.89,734.18,4.09,4.5,511.84,3.6,4.1
204,2021-5-25,251,109,21,121,1172.49,4.19,3.86,1221.81,4.21,4.1,644.1,4.9,3.86,477.71,4.05,3.64
205,2021-5-26,264,105,26,133,1022.28,2.94,3.51,521.02,2.78,3.73,372.08,2.35,3.58,1014.11,3.19,3.31
206,2021-5-27,213,98,21,94,1200.46,5.46,4.72,600.53,4.2,5.33,592.48,5.0,5.19,1228.72,6.25,3.97
207,2021-5-28,345,145,27,173,1062.5,3.24,3.83,470.42,2.77,3.99,1309.8,3.8,4.04,444.02,3.57,3.67
208,2021-5-29,99,38,9,52,744.59,5.18,7.03,778.05,3.71,7.68,750.56,4.0,6.56,719.1,6.46,6.63
209,2021-5-30,134,48,7,79,737.75,3.86,6.6,668.92,2.46,5.94,726.43,5.71,5.71,780.57,4.54,7.09
210,2021-5-31,316,127,36,153,761.82,4.65,3.74,511.99,4.06,4.14,494.89,3.36,3.31,767.34,4.92,3.5
211,2021-6-1,301,130,33,138,1027.84,4.51,3.71,566.77,4.65,4.28,1078.65,4.42,3.97,487.51,4.4,3.12
212,2021-6-2,404,148,43,213,982.18,3.36,3.0,487.39,3.24,3.18,654.49,4.19,3.09,965.14,3.27,2.84
213,2021-6-3,308,125,26,157,493.98,3.96,2.34,523.13,3.57,2.54,581.27,6.38,1.54,456.32,3.87,2.31
214,2021-6-4,483,200,47,236,496.54,3.51,1.46,484.2,3.47,1.63,402.53,2.11,1.34,525.73,3.82,1.35
215,2021-6-5,139,55,13,71,1764.69,6.15,3.19,1722.69,4.62,3.25,827.69,4.62,2.77,788.65,7.56,3.23
216,2021-6-6,161,78,16,67,792.25,4.97,4.91,775.86,4.5,5.47,780.0,3.13,4.06,814.27,5.96,4.45
217,2021-6-7,395,154,35,206,1565.59,3.99,3.52,654.92,4.63,4.19,418.49,2.34,2.46,1532.51,3.79,3.19
218,2021-6-8,379,127,32,220,1666.02,2.62,2.38,1616.56,2.02,2.6,430.66,3.5,2.53,497.53,2.83,2.23
219,2021-6-9,334,112,28,194,477.73,3.64,1.4,452.54,3.71,1.45,416.14,3.39,0.61,501.15,3.64,1.48
220,2021-6-10,395,134,27,234,458.48,3.97,1.13,480.11,4.54,1.28,516.59,4.15,1.07,439.39,3.62,1.05
221,2021-6-11,259,107,24,128,2657.44,4.12,1.85,565.21,3.61,1.87,463.17,3.67,0.83,2698.92,4.65,2.03
222,2021-6-12,78,30,8,40,918.76,6.17,4.12,838.9,5.6,3.87,1195.0,7.75,3.63,923.4,6.28,4.4
223,2021-6-13,78,30,6,42,817.99,7.32,4.46,747.13,6.4,5.57,1179.5,9.5,3.83,816.95,7.67,3.76
224,2021-6-14,77,35,3,39,769.9,5.14,3.58,778.86,5.23,3.89,328.0,0.0,4.33,795.85,5.46,3.26
225,2021-6-15,207,88,25,94,547.29,3.06,1.7,599.2,3.26,1.81,548.56,3.56,1.68,498.35,2.74,1.6
226,2021-6-16,216,56,17,143,446.01,2.96,1.62,336.93,1.25,1.36,639.53,3.59,1.59,465.72,3.55,1.73
227,2021-6-17,159,66,14,79,519.37,3.43,3.05,581.21,4.0,3.38,713.29,4.14,4.29,433.34,2.84,2.56
228,2021-6-18,158,56,21,81,596.62,5.08,4.53,520.05,3.27,4.7,435.67,2.14,3.52,691.28,7.1,4.67
229,2021-6-19,38,12,4,22,830.47,11.47,8.16,853.67,14.92,10.42,747.25,12.25,7.5,832.95,9.45,7.05
230,2021-6-20,46,12,8,26,692.85,4.3,6.09,806.42,3.83,7.25,1124.88,7.0,7.0,507.5,3.69,5.27
231,2021-6-21,112,42,11,59,551.82,3.58,3.87,596.88,3.29,3.95,613.91,7.18,3.82,508.17,3.12,3.81
232,2021-6-22,70,23,5,42,1468.4,2.64,3.06,500.65,2.87,3.17,389.4,3.2,3.0,1433.43,2.44,3.0
233,2021-6-23,72,28,7,37,448.42,4.15,3.06,436.57,2.61,3.43,495.43,6.71,2.57,448.49,4.84,2.86
234,2021-6-24,72,23,7,42,353.68,2.31,2.75,307.43,1.61,2.26,262.0,0.14,2.86,394.29,3.05,3.0
235,2021-6-25,35,7,1,27,442.66,3.17,3.6,609.57,3.43,5.43,478.0,10.0,4.0,398.07,2.85,3.11
236,2021-6-26,14,4,1,9,1385.36,14.07,10.36,1913.75,14.5,11.75,488.0,1.0,6.0,1250.22,15.33,10.22
237,2021-6-27,21,7,1,13,603.9,4.1,5.48,687.43,4.43,4.43,648.0,4.0,7.0,555.54,3.92,5.92
238,2021-6-28,37,17,2,18,466.38,1.81,4.3,310.29,1.18,3.12,0.0,0.5,0.0,665.61,2.56,5.89
239,2021-6-29,30,12,1,17,393.17,3.17,3.8,312.33,1.42,3.33,320.0,2.0,5.0,454.53,4.47,4.06
240,2021-6-30,28,8,1,19,403.21,2.61,4.43,479.13,1.63,4.88,227.0,1.0,11.0,380.53,3.11,3.89
241,2021-7-1,30,11,2,17,269.47,1.47,1.87,249.82,1.55,2.36,514.0,5.5,1.5,253.41,0.94,1.59
242,2021-7-2,24,11,5,8,341.38,2.29,2.79,293.36,2.18,2.73,423.2,4.0,3.4,356.25,1.38,2.5
243,2021-7-3,10,1,1,8,611.6,2.1,6.6,340.0,0.0,4.0,423.0,0.0,5.0,669.13,2.63,7.13
244,2021-7-4,13,6,1,6,558.54,3.85,6.38,535.17,2.33,6.67,498.0,3.0,8.0,592.0,5.5,5.83
245,2021-7-5,36,14,3,19,489.5,4.5,4.53,390.07,4.71,4.0,279.67,0.33,2.0,595.89,5.0,5.32
246,2021-7-6,44,14,2,28,909.13,3.4,4.18,929.85,2.4,5.1,282.5,1.0,4.5,443.18,2.86,3.82
247,2021-7-7,46,17,2,27,659.59,5.46,5.98,932.0,8.88,9.59,217.5,0.5,2.5,520.81,3.67,3.96
248,2021-7-8,69,25,7,37,342.23,2.93,3.3,396.88,4.24,3.76,337.0,2.57,3.14,306.3,2.11,3.03
249,2021-7-9,54,23,8,23,1221.9,4.25,4.67,385.83,2.78,3.57,407.5,3.63,4.63,1462.38,6.2,5.95
250,2021-7-10,14,3,3,8,499.0,2.5,8.43,802.67,6.0,10.33,551.33,0.67,8.67,365.5,1.88,7.63
251,2021-7-11,15,8,3,4,447.33,2.0,8.27,389.63,1.38,9.13,542.67,4.33,7.67,491.25,1.5,7.0
252,2021-7-12,40,14,5,21,1077.28,3.64,5.16,484.0,3.0,6.29,421.4,2.6,5.0,1042.89,3.73,4.33
253,2021-7-13,29,9,3,17,409.34,3.0,3.97,469.67,3.11,5.11,705.33,9.0,3.67,325.18,1.88,3.41
254,2021-7-14,24,8,2,14,4993.48,44.67,10.29,10838.88,110.0,20.38,576.0,6.5,6.5,990.0,3.18,3.64
255,2021-7-15,23,7,1,15,868.88,180.05,1.05,266.43,1.43,1.43,827.0,4.0,1.0,869.58,180.25,0.83
256,2021-7-16,27,11,3,13,322.56,2.52,2.41,280.82,2.27,2.64,261.67,1.0,1.67,371.92,3.08,2.38
257,2021-7-17,22,10,1,11,517.5,6.27,1.86,498.5,3.6,1.1,426.0,3.0,2.0,543.09,9.0,2.55
258,2021-7-18,11,3,1,7,1000.33,3.75,5.13,441.33,5.0,4.67,482.0,2.0,7.0,982.83,2.25,5.0
259,2021-7-19,34,14,3,17,424.29,3.5,2.24,381.43,4.07,2.0,317.33,1.67,1.67,478.47,3.35,2.53
260,2021-7-20,33,13,3,17,415.21,2.52,2.33,520.0,3.46,2.46,354.0,2.67,3.0,345.88,1.76,2.12
261,2021-7-21,19,8,2,9,385.95,5.42,3.16,316.25,2.0,2.25,387.5,2.0,3.0,447.56,9.22,4.0
262,2021-7-22,22,7,2,13,438.18,3.27,3.36,546.0,5.14,3.57,493.0,6.0,6.5,371.69,1.85,2.77
263,2021-7-23,74,29,5,40,4408.68,57.18,15.21,6229.21,89.79,22.86,374.8,2.4,3.4,3120.13,37.79,10.81
264,2021-7-24,56,25,5,26,2596.5,31.6,11.19,4795.92,65.82,19.5,856.8,11.4,6.2,576.0,6.54,5.12
265,2021-7-25,59,17,2,40,1845.34,24.25,10.27,5373.24,76.76,22.0,323.5,0.5,5.0,422.08,3.13,5.55
266,2021-7-26,100,28,11,61,332.56,2.49,2.72,341.93,1.86,3.04,392.27,2.91,2.55,317.49,2.7,2.61
267,2021-7-27,89,28,14,47,554.02,3.97,3.62,438.61,3.0,2.89,700.71,6.29,4.79,579.09,3.85,3.7
268,2021-7-28,73,23,7,43,847.9,2.11,3.74,511.3,2.7,4.35,469.14,1.43,2.29,781.48,1.9,3.65
269,2021-7-29,53,30,3,20,412.09,2.89,4.3,365.77,2.63,4.1,400.67,2.33,3.67,483.3,3.35,4.7
270,2021-7-30,79,28,10,41,407.03,2.94,3.72,319.75,1.75,3.39,580.6,6.2,4.5,424.29,2.95,3.76
271,2021-7-31,25,8,0,17,475.28,2.72,6.12,448.13,0.88,6.63,0.0,0.0,0.0,488.06,3.59,5.88
272,2021-8-1,32,10,2,20,760.56,5.13,6.06,747.8,8.2,6.9,1062.0,4.5,8.0,736.8,3.65,5.45
273,2021-8-2,66,23,9,34,358.82,2.35,3.88,397.04,2.43,3.87,295.89,1.67,3.22,349.62,2.47,4.06
274,2021-8-3,55,21,7,27,498.96,3.38,3.31,335.67,1.19,2.43,518.0,5.71,4.0,621.04,4.48,3.81
275,2021-8-4,95,38,7,50,462.19,2.57,2.83,421.5,2.29,3.0,318.86,1.29,1.43,513.18,2.96,2.9
276,2021-8-5,132,56,10,66,402.69,3.32,3.42,413.21,3.32,3.84,484.3,2.6,4.2,381.39,3.42,2.94
277,2021-8-6,121,57,5,59,472.88,3.25,3.89,468.6,3.04,3.81,345.0,3.0,3.0,487.86,3.47,4.05
278,2021-8-7,37,12,5,20,725.57,4.3,6.54,598.5,4.75,7.25,906.8,6.2,7.0,756.5,3.55,6.0
279,2021-8-8,48,22,3,23,703.44,3.58,6.44,767.68,3.5,6.14,1530.67,5.0,7.67,534.09,3.48,6.57
280,2021-8-9,166,55,14,97,491.48,2.25,3.83,456.71,2.45,4.0,688.79,3.79,4.71,482.72,1.92,3.6
281,2021-8-10,179,50,14,115,1003.08,3.46,3.63,896.86,2.45,3.49,645.93,4.5,3.29,707.83,3.75,3.72
282,2021-8-11,120,48,9,63,1119.54,6.6,4.67,1502.56,10.36,6.33,519.22,1.78,4.22,512.67,3.46,3.54
283,2021-8-12,83,22,11,50,565.88,3.63,4.7,658.18,4.86,4.95,617.36,4.36,4.09,513.94,2.92,4.72
284,2021-8-13,64,23,6,35,987.94,3.76,3.81,1033.02,3.4,4.24,344.83,1.83,5.67,495.37,3.71,3.23
285,2021-8-14,32,11,1,20,679.56,3.94,6.31,543.55,2.27,6.82,737.0,11.0,14.0,751.5,4.5,5.65
286,2021-8-15,41,16,2,23,838.85,6.29,5.44,736.88,3.38,6.0,1879.5,11.0,9.0,819.3,7.91,4.74
287,2021-8-16,88,30,5,53,908.8,4.39,3.88,538.37,3.43,3.7,1181.4,10.8,4.8,861.13,4.32,3.9
288,2021-8-17,194,82,27,85,735.99,2.7,3.47,460.0,2.15,3.85,468.74,2.48,3.11,728.22,3.32,3.21
289,2021-8-18,140,40,17,83,774.62,22.38,3.3,519.5,3.23,3.33,577.83,1.21,2.86,795.91,32.21,3.36
290,2021-8-19,91,34,8,49,699.27,3.57,4.44,666.03,3.0,4.16,473.0,2.75,4.5,462.94,4.06,4.61
291,2021-8-20,59,19,11,29,458.9,3.27,3.44,528.63,3.68,3.47,516.73,3.45,3.64,391.28,2.93,3.34
292,2021-8-21,72,25,5,42,572.75,2.81,4.83,427.8,2.0,4.32,435.6,1.0,4.2,675.36,3.5,5.21
293,2021-8-22,72,19,4,49,719.65,2.97,5.86,612.21,1.89,5.47,1355.5,6.75,6.75,709.41,3.08,5.94
294,2021-8-23,108,42,13,53,760.6,8.82,3.57,444.93,3.24,3.38,636.92,2.23,4.92,756.89,8.62,3.38
295,2021-8-24,68,22,4,42,869.72,3.97,4.21,1017.59,3.89,4.89,803.75,4.0,4.0,610.9,4.0,3.9
296,2021-8-25,64,29,5,30,521.03,3.78,3.91,434.55,2.59,3.93,446.2,2.2,3.8,617.1,5.2,3.9
297,2021-8-26,176,57,17,102,521.3,2.84,3.32,497.88,2.88,3.75,804.94,3.29,4.47,487.11,2.75,2.89
298,2021-8-27,126,49,15,62,526.11,3.31,3.92,467.92,2.22,3.76,543.07,2.73,3.73,568.0,4.31,4.1
299,2021-8-28,25,8,0,17,717.84,5.52,5.76,536.75,3.5,6.75,0.0,0.0,0.0,803.06,6.47,5.29
300,2021-8-29,52,23,6,23,740.31,5.25,6.4,846.13,5.87,7.7,464.67,2.67,4.33,706.39,5.3,5.65
301,2021-8-30,68,29,3,36,509.34,3.12,3.63,426.0,2.55,3.31,306.0,1.0,4.33,593.42,3.75,3.83
302,2021-8-31,91,35,13,43,552.15,3.33,4.55,664.77,3.49,5.46,490.23,4.08,4.77,479.21,2.98,3.74
303,2021-9-1,55,18,9,28,551.84,4.85,4.89,476.72,3.33,4.17,499.56,2.22,3.44,616.93,6.68,5.82
304,2021-9-2,132,63,12,57,730.11,4.32,3.54,864.12,4.18,4.33,426.17,2.83,3.17,424.65,3.56,2.79
305,2021-9-3,87,42,12,33,600.72,3.31,4.38,745.29,3.05,5.26,328.0,1.83,4.5,515.91,4.18,3.21
306,2021-9-4,30,13,3,14,621.37,5.23,5.3,488.77,2.92,5.85,1012.0,11.67,4.67,660.79,6.0,4.93
307,2021-9-5,37,19,4,14,586.95,4.68,5.65,725.58,3.05,6.11,314.75,3.75,7.0,476.57,7.14,4.64
308,2021-9-6,97,45,10,42,691.8,4.65,5.82,895.24,5.9,6.95,221.7,2.4,5.2,373.71,3.93,4.83
309,2021-9-7,94,42,8,44,339.89,4.04,4.21,326.38,4.21,4.52,477.63,5.25,4.13,327.75,3.66,3.93
310,2021-9-8,97,28,11,58,292.25,4.79,4.03,353.79,3.75,5.29,194.27,2.27,3.73,281.12,5.78,3.48
311,2021-9-9,89,41,6,42,380.8,3.83,3.24,323.34,2.95,2.95,446.33,6.33,3.17,427.52,4.33,3.52
312,2021-9-10,132,65,12,55,324.17,3.7,3.61,327.08,3.74,4.17,387.58,3.58,4.42,306.91,3.67,2.78
313,2021-9-11,42,25,3,14,502.69,2.64,5.93,519.52,2.16,6.08,281.67,3.0,4.67,520.0,3.43,5.93
314,2021-9-12,50,19,4,27,479.24,3.84,6.12,432.26,3.74,6.21,352.0,2.25,8.0,531.15,4.15,5.78
315,2021-9-13,238,93,24,121,544.62,4.07,3.25,494.65,3.0,3.58,479.92,4.71,3.58,560.8,4.75,2.93
316,2021-9-14,181,66,17,98,531.82,4.11,3.34,463.58,5.5,3.86,276.65,2.53,3.65,492.39,3.42,2.92
317,2021-9-15,189,75,12,102,522.17,5.08,3.77,577.52,6.26,5.1,201.92,3.42,3.5,507.34,4.41,2.83
318,2021-9-16,188,77,22,89,470.35,5.17,3.79,334.14,3.74,4.1,300.91,2.86,3.23,486.77,5.76,3.65
319,2021-9-17,181,66,15,100,464.19,6.42,3.39,341.2,3.44,4.02,381.47,2.6,4.6,424.77,6.33,2.67
320,2021-9-18,47,20,3,24,393.4,3.06,3.74,356.45,2.8,3.6,430.33,1.33,3.67,419.58,3.5,3.88
321,2021-9-19,46,22,5,19,533.52,4.22,4.76,398.77,2.27,5.05,847.0,8.8,4.8,607.05,5.26,4.42
322,2021-9-20,37,19,3,15,773.22,8.24,5.95,452.05,2.53,6.26,524.67,5.0,4.0,1229.73,16.13,5.93
323,2021-9-21,50,27,2,21,411.3,2.6,5.02,552.89,3.44,6.11,203.0,0.0,6.0,249.1,1.76,3.52
324,2021-9-22,151,44,9,98,256.55,2.46,3.48,234.05,1.77,3.55,337.44,2.44,4.0,259.22,2.77,3.41
325,2021-9-23,173,56,20,97,447.22,4.02,3.54,281.41,2.46,3.66,273.15,2.25,3.45,473.89,4.52,3.48
326,2021-9-24,120,57,8,55,504.46,3.43,3.94,359.4,3.14,3.89,435.5,3.75,3.38,523.04,3.7,4.08
327,2021-9-25,60,21,3,36,636.17,5.25,5.13,499.48,3.76,4.9,1044.0,7.67,5.67,681.92,5.92,5.22
328,2021-9-26,41,17,5,19,549.9,3.73,4.49,566.29,3.53,4.59,462.0,2.2,3.4,558.37,4.32,4.68
329,2021-9-27,68,32,4,32,251.93,2.72,3.01,283.38,3.09,3.16,92.75,0.5,0.75,240.38,2.63,3.16
330,2021-9-28,76,33,4,39,284.7,2.82,3.66,284.42,2.82,3.76,226.0,2.0,2.75,290.95,2.9,3.67
331,2021-9-29,71,31,8,32,375.32,2.89,4.75,383.97,2.68,5.23,351.0,3.88,4.88,373.03,2.84,4.25
332,2021-9-30,84,38,5,41,721.33,4.55,4.14,465.76,3.87,5.11,418.0,10.2,4.0,656.95,4.5,3.25
333,2021-10-1,14,6,0,8,518.86,5.07,3.14,552.0,3.17,2.5,0.0,0.0,0.0,494.0,6.5,3.63
334,2021-10-2,22,6,4,12,620.27,2.68,2.91,618.83,1.33,3.0,770.5,4.25,3.25,570.92,2.83,2.75
335,2021-10-3,12,5,3,4,463.83,2.83,3.92,458.4,2.2,4.4,624.0,2.67,3.67,350.5,3.75,3.5
336,2021-10-4,13,4,1,8,556.85,3.54,3.77,671.5,3.75,6.25,299.0,1.0,2.0,531.75,3.75,2.75
337,2021-10-5,36,13,6,17,352.44,2.19,2.28,332.54,1.77,2.08,276.0,0.67,1.5,394.65,3.06,2.71
338,2021-10-6,19,10,0,9,505.95,4.11,3.63,634.8,4.2,3.3,0.0,0.0,0.0,362.78,4.0,4.0
339,2021-10-7,28,12,3,13,566.21,3.57,5.68,633.17,4.17,6.42,447.0,3.33,6.0,531.92,3.08,4.92
340,2021-10-8,80,37,7,36,478.17,4.99,4.75,489.59,4.24,5.44,383.29,6.14,4.86,348.08,3.08,4.08
341,2021-10-9,51,21,2,28,364.76,3.51,2.92,321.9,2.05,3.1,592.0,5.0,4.5,380.68,4.5,2.68
342,2021-10-10,36,12,5,19,517.47,2.69,6.72,420.83,2.0,4.33,383.2,2.0,5.0,613.84,3.32,8.68
343,2021-10-11,141,64,13,64,493.62,3.26,4.09,588.99,4.29,5.48,333.37,1.9,1.4,311.78,2.31,3.25
344,2021-10-12,116,49,12,55,422.47,3.69,3.94,317.53,2.67,4.61,160.67,2.42,1.92,437.1,3.77,3.77
345,2021-10-13,150,72,12,66,387.43,4.3,4.27,349.28,3.79,4.17,351.92,2.75,3.0,435.5,5.14,4.62
346,2021-10-14,239,100,23,116,421.49,5.34,3.66,419.96,4.62,4.08,388.9,2.9,2.62,429.25,6.19,3.48
347,2021-10-15,182,73,17,92,405.11,3.31,4.05,298.12,2.48,4.23,560.77,5.53,5.6,275.4,3.61,3.65
348,2021-10-16,58,23,7,28,810.59,9.43,5.71,1078.52,12.87,9.04,290.29,2.14,2.14,577.5,7.19,3.73
349,2021-10-17,69,30,6,33,596.91,3.12,4.62,926.37,4.6,6.8,429.83,3.83,3.5,327.79,1.64,2.85
350,2021-10-18,172,53,15,104,488.61,3.21,3.58,341.6,3.02,3.75,344.93,4.07,3.33,476.46,3.18,3.52
351,2021-10-19,179,65,11,103,417.41,3.45,4.47,331.31,3.34,5.23,248.18,1.09,3.45,423.91,3.78,4.1
352,2021-10-20,148,59,13,76,470.95,7.01,3.5,506.4,6.88,3.83,361.31,5.31,3.85,320.96,2.71,3.18
353,2021-10-21,152,54,18,80,338.36,3.38,3.23,339.94,2.46,3.15,382.39,5.0,4.17,327.38,3.64,3.08
354,2021-10-22,111,34,11,66,459.92,3.75,3.14,383.79,3.06,2.94,233.09,3.36,2.27,521.4,4.17,3.38
355,2021-10-23,33,13,4,16,464.12,3.12,4.58,508.15,3.77,7.15,481.25,3.5,3.0,424.06,2.5,2.88
356,2021-10-24,49,19,7,23,350.57,1.63,3.24,382.89,1.26,3.84,330.71,1.71,2.29,329.91,1.91,3.04
357,2021-10-25,118,41,3,74,406.15,3.12,3.79,376.22,3.59,4.59,203.0,1.33,4.33,373.45,2.93,3.33
358,2021-10-26,132,39,15,78,272.31,2.63,3.54,229.18,1.85,3.49,336.53,3.07,4.87,281.53,2.94,3.31
359,2021-10-27,170,58,16,96,351.35,3.92,3.81,328.02,5.19,4.86,221.5,2.38,3.69,319.74,3.01,3.18
360,2021-10-28,117,65,6,46,325.78,3.38,4.04,399.23,4.32,4.71,185.5,2.0,3.5,240.28,2.22,3.17
361,2021-10-29,316,128,37,151,338.83,3.21,3.08,350.05,2.88,3.23,242.73,2.43,2.95,352.86,3.68,2.97
362,2021-10-30,206,82,17,107,599.8,4.35,3.47,582.26,3.69,4.12,483.94,4.24,3.59,555.09,4.56,2.98
363,2021-10-31,162,67,15,80,614.01,5.97,3.9,521.24,4.46,3.48,925.73,9.6,8.47,633.26,6.55,3.4
364,2021-11-1,452,147,43,262,448.02,3.57,2.49,429.33,3.36,2.6,559.42,5.47,4.14,426.74,3.37,2.16
