,发帖日期,帖子总数量,积极帖子数量,中立帖子数量,消极帖子数量,帖子平均阅读量,帖子平均评论量,帖子平均点赞量,积极帖子平均阅读量,积极帖子平均评论量,积极帖子平均点赞量,中立帖子平均阅读量,中立帖子平均评论量,中立帖子平均点赞量,消极帖子平均阅读量,消极帖子平均评论量,消极帖子平均点赞量
46,2020-12-18,104,36,9,59,523.93,4.5,1.18,547.47,3.42,1.31,231.67,1.0,0.89,481.0,4.16,1.14
47,2020-12-19,52,14,10,28,463.13,3.17,1.17,497.64,3.43,1.21,392.9,3.9,1.1,470.96,2.79,1.18
48,2020-12-20,33,10,2,21,501.09,3.03,2.33,544.4,4.0,3.2,632.5,5.5,1.5,467.95,2.33,2.0
49,2020-12-21,175,58,20,97,444.13,2.75,1.98,566.1,3.52,2.26,454.8,2.75,2.1,369.0,2.3,1.78
50,2020-12-22,129,45,17,67,498.34,2.04,1.38,323.64,1.53,1.47,418.88,2.88,1.53,497.94,2.17,1.29
51,2020-12-23,101,28,11,62,499.96,4.62,2.71,383.61,3.18,2.21,427.27,2.45,3.36,506.38,4.39,2.82
52,2020-12-24,78,29,6,43,326.18,2.26,3.55,295.14,2.31,4.0,451.83,2.83,3.33,329.58,2.14,3.28
53,2020-12-25,116,37,7,72,323.84,1.83,3.21,412.84,3.22,4.08,266.86,1.0,3.86,283.65,1.19,2.69
54,2020-12-26,45,9,4,32,458.27,2.89,1.91,380.78,1.67,1.33,476.5,3.0,1.5,477.78,3.22,2.13
55,2020-12-27,57,19,4,34,651.84,3.68,3.86,563.79,3.16,3.42,635.0,4.0,3.5,703.03,3.94,4.15
56,2020-12-28,105,33,4,68,508.18,5.29,2.77,464.84,5.53,2.72,499.75,5.5,2.0,521.34,4.75,2.84
57,2020-12-29,81,19,4,58,493.59,3.0,3.12,487.58,3.32,3.63,436.25,1.25,1.75,499.52,3.02,3.05
58,2020-12-30,130,33,8,89,430.28,2.7,2.31,481.67,2.58,1.79,341.75,0.75,0.63,419.19,2.92,2.65
59,2020-12-31,240,74,20,146,415.79,2.04,1.64,368.2,2.27,1.61,327.15,1.9,1.05,399.36,1.94,1.74
60,2021-1-1,165,56,14,95,692.53,59.18,2.01,689.88,3.91,2.25,659.79,2.64,1.79,648.62,58.83,1.9
61,2021-1-2,158,44,15,99,545.65,2.34,2.06,550.48,2.23,2.43,603.4,2.67,2.47,534.75,2.34,1.83
62,2021-1-3,100,36,4,60,776.91,3.73,3.01,886.64,4.53,3.5,451.75,0.5,1.0,732.75,3.47,2.85
63,2021-1-4,233,58,18,157,494.29,2.93,2.21,429.12,3.21,1.98,267.67,0.67,1.17,530.57,2.71,2.42
64,2021-1-5,211,44,19,148,363.27,1.95,2.05,384.27,3.07,1.66,323.42,1.74,1.79,362.14,1.64,2.2
65,2021-1-6,105,26,6,73,443.07,2.7,3.41,432.08,3.35,3.04,451.0,1.83,3.0,446.33,2.55,3.58
66,2021-1-7,214,53,21,140,343.77,2.0,2.17,288.3,1.77,1.81,539.67,3.1,2.24,335.39,1.92,2.29
67,2021-1-8,159,56,12,91,312.92,2.6,2.09,346.86,2.52,2.16,287.58,5.58,2.08,295.37,2.26,2.04
68,2021-1-9,56,18,2,36,651.82,3.91,2.73,1009.11,6.28,2.44,1023.5,2.5,3.0,452.53,2.81,2.86
69,2021-1-10,45,9,4,32,564.51,2.04,2.22,626.89,1.78,0.78,634.75,2.25,2.75,538.19,2.09,2.56
70,2021-1-11,170,38,6,126,388.96,2.21,3.44,343.32,1.97,2.63,297.33,1.67,4.67,407.09,2.3,3.63
71,2021-1-12,193,49,18,126,493.98,2.88,2.32,468.79,2.31,2.0,382.56,2.22,1.39,499.0,3.42,2.58
72,2021-1-13,191,80,20,91,508.36,3.1,2.63,515.38,3.1,3.12,620.32,6.21,3.37,478.44,2.13,2.04
73,2021-1-14,117,40,4,73,346.01,2.26,2.52,384.53,2.7,2.65,294.75,2.25,2.25,327.71,2.03,2.47
